Area,Player Direction,Pass Direction,Offensive Action,Footwork,Make/Miss,Off Dribble Hand,Defender Distance,PTS,Year,Date
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/23/2024
Left Corner,Stationary,Right,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/23/2024
Right Wing,Left,Left,Pin Down,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/23/2024
Left Wing,Stationary,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/23/2024
Right Wing,Away From Hoop,Off the Dribble,DHO,1-2 Right/Left,Miss,Right,Open,0,2024-2025,10/25/2024
Top,To Hoop,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,10/25/2024
Left Wing,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,10/25/2024
Top,Stationary,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/25/2024
Right Wing,Right,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/25/2024
Top,To Hoop,Right,Iso,1-2 Left/Right,Miss,Catch & Shoot,Open,0,2024-2025,10/27/2024
Left Wing,Left,Off the Dribble,Iso,Hop  ,Miss,Right to LeftPickup,Open,0,2024-2025,10/27/2024
Left Wing,Right,Off the Dribble,PnR,Hop  ,Miss,Right,Close,0,2024-2025,10/27/2024
Right Wing,Right,Left,Flare,1-2 Left/Right,Miss,Catch & Shoot,Close,0,2024-2025,10/27/2024
Left Corner,Stationary,Off the Dribble,Spot Up,1-2 Right/Left,Miss,Right,Wide Open,0,2024-2025,10/27/2024
Right Wing,Left,Off the Dribble,PnR,1-2 Right/Left,Miss,Right to LeftPickup,Close,0,2024-2025,10/29/2024
Left Corner,Away From Hoop,From Hoop,DHO,1-2 Right/Left,Make ,Catch & Shoot,Tight,3,2024-2025,10/29/2024
Right Corner,Stationary,Left,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/29/2024
Top,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,10/29/2024
Right Wing,Stationary,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,10/29/2024
Left Corner,Away From Hoop,Right,Drive Kick,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,10/29/2024
Right Wing,Left,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/29/2024
Left Wing,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Open,0,2024-2025,10/29/2024
Left Corner,Stationary,Right,Spot Up,1-2 Left/Right,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/30/2024
Top,Left,Off the Dribble,PnR,1-2 Right/Left,Make ,Left,Wide Open,3,2024-2025,10/30/2024
Right Wing,Right,Off the Dribble,Post Kick Out,1-2 Left/Right,Miss,Right,Open,0,2024-2025,10/30/2024
Right Wing,Left,Off the Dribble,PnR,1-2 Right/Left,Make ,Left,Close,3,2024-2025,10/30/2024
Top,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/30/2024
Left Wing,Left,Off the Dribble,PnR,1-2 Right/Left,Miss,Left to RightPickUp,Open,0,2024-2025,10/30/2024
Left Wing,Stationary,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/30/2024
Top,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,11/2/2024
Right Wing,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,11/2/2024
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Open,0,2024-2025,11/2/2024
Left Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/4/2024
Right Wing,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Right to LeftPickup,Close,0,2024-2025,11/8/2024
Top,Right,Off the Dribble,PnR,1-2 Left/Right,Miss,Right,Close,0,2024-2025,11/8/2024
Left Wing,Away From Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,11/8/2024
Right Wing,Right,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,11/8/2024
Right Corner,Away From Hoop,Off the Dribble,Iso,1-2 Right/Left,Make ,Right to LeftPickup,Close,3,2024-2025,11/8/2024
Left Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/8/2024
Left Wing,To Hoop,From Hoop,Spot Up,Hop  ,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/10/2024
Right Wing,Away From Hoop,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Wide Open,3,2024-2025,11/12/2024
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,11/15/2024
Left Wing,Stationary,Right,Drive Kick,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,11/15/2024
Top,Away From Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,11/15/2024
Left Wing,Left,Right,Flare,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/15/2024
Right Wing,To Hoop,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/18/2024
Left Wing,Left,Left,Iso,1-2 Left/Right,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/18/2024
Left Wing,Right,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,11/20/2024
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/22/2024
Left Wing,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Open,0,2024-2025,11/22/2024
