Area;Player Direction;Pass Direction;Offensive Action;Footwork;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Top;Away From Hoop;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Wing;Away From Hoop;Left;Flare;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Away From Hoop;Right;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Wing;Away From Hoop;Off the Dribble;PnR;1-2 Left/Right;Miss;Left to RightPickUp;Wide Open;0;2024-2025
Top;Right;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Away From Hoop;Off the Dribble;Iso;1-2 Left/Right;Miss;Left;Close;0;2024-2025
Left Wing;Left;Off the Dribble;Iso;1-2 Left/Right;Miss;Left to RightPickUp;Tight;0;2024-2025
Right Wing;Right;From Hoop;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Away From Hoop;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Top;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Wing;Right;Right;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Right Wing;Right;Off the Dribble;PnR;1-2 Right/Left;Miss;Left to RightPickUp;Wide Open;0;2024-2025
Left Corner;Right;Off the Dribble;Spot Up;1-2 Right/Left;Miss;Right;Wide Open;0;2024-2025
Top;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Left Corner;Away From Hoop;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Away From Hoop;Off the Dribble;Iso;1-2 Left/Right;Miss;Right;Open;0;2024-2025
Right Wing;Stationary;Left;Drive Kick;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Top;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Wing;Right;From Hoop;DHO;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Right;From Hoop;Post Kick Out;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Top;Stationary;Right;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Left;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Top;Left;Off the Dribble;PnR;1-2 Left/Right;Make ;Left;Close;3;2024-2025
